episode,eval_env_seed,objective_return,fish_eaten,success_rate,death_rate,episode_length,training_return,time_limit
0,307626447,0.0,0.0,0.0,0.0,500,0.0,1.0
1,959653083,5.0,1.0,1.0,0.0,500,5.0,1.0
2,2946223120,0.0,0.0,0.0,0.0,500,0.0,1.0
3,1539688509,5.0,1.0,1.0,0.0,500,5.0,1.0
4,651783613,-5.0,0.0,0.0,1.0,241,-5.0,0.0
5,4154266724,-5.0,0.0,0.0,1.0,184,-5.0,0.0
6,2100221059,0.0,0.0,0.0,0.0,500,0.0,1.0
7,2796731723,0.0,0.0,0.0,0.0,500,0.0,1.0
8,1701458327,10.0,2.0,1.0,0.0,500,10.0,1.0
9,1068537334,0.0,0.0,0.0,0.0,500,0.0,1.0
10,3045764740,-5.0,0.0,0.0,1.0,175,-5.0,0.0
11,143678244,0.0,0.0,0.0,0.0,500,0.0,1.0
12,2928152969,-5.0,0.0,0.0,1.0,206,-5.0,0.0
13,3416123359,5.0,1.0,1.0,0.0,500,5.0,1.0
14,1539616186,0.0,0.0,0.0,0.0,500,0.0,1.0
15,2139239430,0.0,0.0,0.0,0.0,500,0.0,1.0
16,4214099927,5.0,1.0,1.0,0.0,500,5.0,1.0
17,2903756133,0.0,0.0,0.0,0.0,500,0.0,1.0
18,867065223,0.0,0.0,0.0,0.0,500,0.0,1.0
19,907290535,20.0,4.0,1.0,0.0,500,20.0,1.0
20,851570294,0.0,0.0,0.0,0.0,500,0.0,1.0
21,994517966,10.0,2.0,1.0,0.0,500,10.0,1.0
22,424770802,0.0,0.0,0.0,0.0,500,0.0,1.0
23,2127208881,-5.0,0.0,0.0,1.0,140,-5.0,0.0
24,1064453005,5.0,1.0,1.0,0.0,500,5.0,1.0
25,1166063816,0.0,0.0,0.0,0.0,500,0.0,1.0
26,2846592585,-5.0,0.0,0.0,1.0,125,-5.0,0.0
27,147946070,5.0,1.0,1.0,0.0,500,5.0,1.0
28,2033366849,0.0,0.0,0.0,0.0,500,0.0,1.0
29,3042208708,0.0,0.0,0.0,0.0,500,0.0,1.0
30,4163856881,0.0,1.0,1.0,1.0,213,0.0,0.0
31,3423853344,-5.0,0.0,0.0,1.0,177,-5.0,0.0
32,420994573,5.0,2.0,1.0,1.0,302,5.0,0.0
33,982707012,-5.0,0.0,0.0,1.0,177,-5.0,0.0
34,2550516536,5.0,1.0,1.0,0.0,500,5.0,1.0
35,775994020,-5.0,0.0,0.0,1.0,116,-5.0,0.0
36,560712679,0.0,0.0,0.0,0.0,500,0.0,1.0
37,1454619118,0.0,0.0,0.0,0.0,500,0.0,1.0
38,2140534406,-5.0,0.0,0.0,1.0,194,-5.0,0.0
39,4197442676,10.0,2.0,1.0,0.0,500,10.0,1.0
40,298656698,-5.0,0.0,0.0,1.0,119,-5.0,0.0
41,3826704903,5.0,1.0,1.0,0.0,500,5.0,1.0
42,825260201,-5.0,0.0,0.0,1.0,141,-5.0,0.0
43,1974627105,0.0,1.0,1.0,1.0,376,0.0,0.0
44,3962368100,0.0,0.0,0.0,0.0,500,0.0,1.0
45,3810720427,5.0,2.0,1.0,1.0,473,5.0,0.0
46,4000810462,0.0,0.0,0.0,0.0,500,0.0,1.0
47,3194796222,0.0,0.0,0.0,0.0,500,0.0,1.0
48,2731115190,5.0,1.0,1.0,0.0,500,5.0,1.0
49,472895482,0.0,0.0,0.0,0.0,500,0.0,1.0
